,Time,Online Retail Rate
0,2006-10-31,2.8
1,2006-12-01,2.5
2,2006-12-31,2.7
3,2007-01-30,2.8
4,2007-03-02,2.9
5,2007-04-01,2.9
6,2007-05-02,3.1
7,2007-06-01,3.1
8,2007-07-02,3.3
9,2007-08-01,3.3
10,2007-08-31,3.6
11,2007-10-01,3.8
12,2007-10-31,4.4
13,2007-12-01,4.2
14,2007-12-31,4.4
15,2008-01-30,4.4
16,2008-03-01,4.5
17,2008-03-31,4.6
18,2008-05-01,4.4
19,2008-05-31,4.7
20,2008-06-30,4.6
21,2008-08-01,4.8
22,2008-08-31,5.2
23,2008-10-01,5.3
24,2008-10-31,6.0
25,2008-12-01,5.8
26,2008-12-31,6.0
27,2009-01-30,5.9
28,2009-03-02,5.8
29,2009-04-01,5.7
30,2009-05-02,5.7
31,2009-06-01,5.6
32,2009-07-02,5.9
33,2009-08-01,5.9
34,2009-08-31,6.1
35,2009-10-01,6.8
36,2009-10-31,7.9
37,2009-12-01,6.9
38,2009-12-31,7.1
39,2010-01-30,6.8
40,2010-03-02,6.5
41,2010-04-01,6.6
42,2010-05-02,6.6
43,2010-06-01,6.4
44,2010-07-01,6.7
45,2010-08-01,7.1
46,2010-08-31,7.3
47,2010-10-01,7.9
48,2010-10-31,9.0
49,2010-12-01,8.5
50,2010-12-31,8.7
51,2011-01-30,7.9
52,2011-03-02,7.8
53,2011-04-01,7.2
54,2011-05-02,7.5
55,2011-06-01,7.7
56,2011-07-02,7.7
57,2011-08-01,7.8
58,2011-08-31,8.3
59,2011-10-01,8.6
60,2011-10-31,10.3
61,2011-12-01,9.4
62,2011-12-31,9.4
63,2012-01-30,9.1
64,2012-03-01,8.8
65,2012-03-31,8.9
66,2012-05-01,9.1
67,2012-05-31,8.5
68,2012-06-30,9.0
69,2012-08-01,8.3
70,2012-08-31,8.9
71,2012-10-01,9.4
72,2012-10-31,10.7
73,2012-12-01,10.9
74,2012-12-31,10.5
75,2013-01-30,10.0
76,2013-03-02,10.3
77,2013-04-01,10.1
78,2013-05-02,9.8
79,2013-06-01,9.7
80,2013-07-02,9.5
81,2013-08-01,9.7
82,2013-08-31,10.1
83,2013-10-01,10.7
84,2013-10-31,12.1
85,2013-12-01,11.8
86,2013-12-31,11.1
87,2014-01-30,10.7
88,2014-03-02,10.8
89,2014-04-01,10.6
90,2014-05-02,10.9
91,2014-06-01,10.7
92,2014-07-01,10.6
93,2014-08-01,10.7
94,2014-08-31,10.9
95,2014-10-01,11.5
96,2014-10-31,13.7
97,2014-12-01,12.8
98,2014-12-31,12.8
99,2015-01-30,11.7
100,2015-03-02,11.7
101,2015-04-01,12.2
102,2015-05-02,11.7
103,2015-06-01,11.9
104,2015-07-02,11.8
105,2015-08-01,11.5
106,2015-08-31,12.1
107,2015-10-01,12.7
108,2015-10-31,15.5
109,2015-12-01,14.1
110,2015-12-31,14.2
111,2016-01-30,12.9
112,2016-03-01,13.0
113,2016-03-31,13.5
114,2016-05-01,13.6
115,2016-05-31,13.9
116,2016-06-30,13.4
117,2016-08-01,13.7
118,2016-08-31,14.8
119,2016-10-01,15.5
120,2016-10-31,18.8
121,2016-12-01,17.1
122,2016-12-31,16.2
123,2017-01-30,15.2
124,2017-03-02,15.6
125,2017-04-01,15.2
126,2017-05-02,15.4
127,2017-06-01,15.8
128,2017-07-02,15.5
129,2017-08-01,15.4
130,2017-08-31,16.0
131,2017-10-01,16.5
132,2017-10-31,19.9
133,2017-12-01,17.9
134,2017-12-31,17.7
135,2018-01-30,16.8
136,2018-03-02,17.3
137,2018-04-01,17.2
138,2018-05-02,17.5
139,2018-06-01,17.5
140,2018-07-01,17.1
141,2018-08-01,16.7
142,2018-08-31,17.2
